[WARN] [1764463522.036024126] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (17, 11)
[WARN] [1764463522.536034132] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (17, 10)
[WARN] [1764463523.036045521] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (17, 9)
[WARN] [1764463523.536047778] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (18, 9)
[WARN] [1764463524.036055372] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (19, 9)
[WARN] [1764463524.536073176] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (19, 8)
[WARN] [1764463525.036080163] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (19, 7)
[WARN] [1764463525.536045123] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (20, 7)
[WARN] [1764463526.036063259] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (21, 7)
[WARN] [1764463526.536069893] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (21, 8)
[WARN] [1764463527.036079736] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (21, 9)
[WARN] [1764463527.536084877] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (22, 9)
[WARN] [1764463528.036087288] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (23, 9)
[WARN] [1764463528.536071492] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (24, 9)
[WARN] [1764463529.036112786] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (25, 9)
[WARN] [1764463529.536132012] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (25, 10)
[WARN] [1764463530.036246271] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (25, 11)
[WARN] [1764463530.536225242] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (26, 11)
[WARN] [1764463531.036163251] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (27, 11)
[WARN] [1764463531.536238131] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (27, 12)
[WARN] [1764463532.036157030] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (27, 13)
[WARN] [1764463532.536161773] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (26, 13)
[WARN] [1764463533.036185759] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (25, 13)
[WARN] [1764463533.536200431] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (25, 14)
[WARN] [1764463534.036200894] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (25, 15)
[WARN] [1764463534.536191879] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (24, 15)
[WARN] [1764463535.036220688] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (23, 15)
[WARN] [1764463535.536193540] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (23, 16)
[WARN] [1764463536.036214172] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (23, 17)
[WARN] [1764463536.536212182] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (23, 18)
[WARN] [1764463537.036216450] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (23, 19)
[WARN] [1764463537.536223381] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (24, 19)
[WARN] [1764463538.036245151] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (25, 19)
[WARN] [1764463538.536273989] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (26, 19)
[WARN] [1764463539.036258978] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (27, 19)
[WARN] [1764463539.536279400] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (27, 20)
[WARN] [1764463540.036287544] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (27, 21)
[WARN] [1764463540.536359924] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (27, 22)
[WARN] [1764463541.036327845] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (27, 23)
[WARN] [1764463541.536325529] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (26, 23)
[WARN] [1764463542.036399887] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (25, 23)
[WARN] [1764463542.536357812] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (25, 24)
[WARN] [1764463543.036331093] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (25, 25)
[WARN] [1764463543.536342364] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (24, 25)
[WARN] [1764463544.036437609] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (23, 25)
[WARN] [1764463544.536335587] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (23, 26)
[WARN] [1764463545.036340514] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (23, 27)
[WARN] [1764463545.536456445] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (22, 27)
[WARN] [1764463546.036379113] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (21, 27)
[WARN] [1764463546.536389075] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (21, 26)
[WARN] [1764463547.036470335] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (21, 25)
[WARN] [1764463547.536392473] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (21, 24)
[WARN] [1764463548.036380205] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (21, 23)
[WARN] [1764463548.536394875] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (21, 22)
[WARN] [1764463549.036427962] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (21, 21)
[WARN] [1764463549.536428896] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (20, 21)
[WARN] [1764463550.036536672] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (19, 21)
[WARN] [1764463550.536455190] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (18, 21)
[WARN] [1764463551.036429404] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (17, 21)
[WARN] [1764463551.536432255] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (17, 20)
[WARN] [1764463552.036462632] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (17, 19)
[WARN] [1764463552.536449504] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (17, 18)
[WARN] [1764463553.036451158] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (17, 17)
[WARN] [1764463553.536458129] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (16, 17)
[WARN] [1764463554.036501623] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (15, 17)
[WARN] [1764463554.536477806] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (15, 18)
[WARN] [1764463555.036484040] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (15, 19)
[WARN] [1764463555.536512826] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (14, 19)
[WARN] [1764463556.036517950] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (13, 19)
[WARN] [1764463556.536636631] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (13, 18)
[WARN] [1764463557.036533231] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (13, 17)
[WARN] [1764463557.536538293] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (13, 16)
[WARN] [1764463558.036542154] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (13, 15)
[WARN] [1764463558.536554977] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (13, 14)
[WARN] [1764463559.036648997] [cg_autonomous_navigator]: Não foi possível determinar a direção para o alvo (14, 14)
[INFO] [1764463559.536559743] [cg_autonomous_navigator]: Robô chegou ao alvo!
